,M5S,PD,LN,FI
M5S,0.17806912499410743,0.0,0.0,0.0
PD,0.20427347624175618,0.22491129518100028,0.0,0.0
LN,0.20453088049024215,0.2271603547427079,0.22735468857134822,0.0
FI,0.20460937327262396,0.22316635034584398,0.222694011798109,0.21812970009171628
