,M5S,PD,LN,FI
M5S,0.30154231944979326,0.0,0.0,0.0
PD,0.32848602337617205,0.3426798414745823,0.0,0.0
LN,0.3224220207817412,0.3291552775209393,0.31099817214864933,0.0
FI,0.416899921882422,0.40489239461608817,0.38203745374283404,0.0
