,M5S,PD,LN,FI
M5S,0.27124548636731793,0.0,0.0,0.0
PD,0.26935487852426887,0.25855070899427457,0.0,0.0
LN,0.27099882571489553,0.26765504316530964,0.2723484623125818,0.0
FI,0.27540872282721085,0.2585006328708581,0.26877129550947565,0.2449657198745252
