,M5S,LN,PD,FI
M5S,0.3153231809500986,0.0,0.0,0.0
LN,0.3117655786756748,0.2863480208803406,0.0,0.0
PD,0.3072869800788197,0.2991679730541774,0.29381320692585855,0.0
FI,0.31268399554537896,0.30462525182115185,0.3068991354427293,0.29163633428203417
