,M5S,PD,LN,FI
M5S,0.27584127934886526,0.0,0.0,0.0
PD,0.28219958855047156,0.2869276240786356,0.0,0.0
LN,0.28135223642097074,0.28789563521343053,0.2847167748678313,0.0
FI,0.2764452816817564,0.2821511749313288,0.28260285281049624,0.2763443001077821
