,M5S,LN,PD,FI
M5S,0.21348430519899497,0.0,0.0,0.0
LN,0.21394850915618624,0.20334933502251862,0.0,0.0
PD,0.2296195657187987,0.2217965433005452,0.2313549411963054,0.0
FI,0.23037517560882914,0.22170637995587383,0.23912811092969377,0.23511820075514966
