,FdI,PD,FI,M5S,LN
FdI,0.21942920037630853,0.0,0.0,0.0,0.0
PD,0.2083473997591242,0.18233526343394457,0.0,0.0,0.0
FI,0.20845096042477718,0.19244785469117043,0.19436839407280915,0.0,0.0
M5S,0.2218308229211351,0.20870982989195574,0.20913087532843255,0.2232892333023978,0.0
LN,0.21463592719893332,0.20463780968269174,0.2036322506690944,0.21362841961595935,0.2085882114428952
