,FdI,PD,FI,M5S,LN
FdI,0.2798964881442416,0.0,0.0,0.0,0.0
PD,0.25382249683789493,0.2457037144092632,0.0,0.0,0.0
FI,0.2778666238031665,0.27584720272934493,0.3030529818461275,0.0,0.0
M5S,0.2718272439283582,0.26932431056221007,0.2917890873611544,0.2691735534855084,0.0
LN,0.24490081227169236,0.23523132022343174,0.2676309104916418,0.26151406861071436,0.23284788921931954
