,FdI,PD,FI,M5S,LN
FdI,0.3351726439795928,0.0,0.0,0.0,0.0
PD,0.3152174013222323,0.28586699438398877,0.0,0.0,0.0
FI,0.32753367079469176,0.29856292954749153,0.3050525342423849,0.0,0.0
M5S,0.3283621185522303,0.30366268811831043,0.31142016753899704,0.3156892702676902,0.0
LN,0.3300678553041312,0.30395490753778553,0.31096352841867325,0.3175074753936524,0.31129461777932277
