,M5S,PD,LN,FI
M5S,0.27245627546382245,0.0,0.0,0.0
PD,0.2768122612195567,0.2775729128217659,0.0,0.0
LN,0.28023993337564024,0.28253628038602585,0.28411627168929066,0.0
FI,0.2737650422159925,0.2738946230722693,0.2777232575431009,0.2676529721500378
