,M5S,PD,LN,FI
M5S,0.2767093366859371,0.0,0.0,0.0
PD,0.261482119547485,0.23200583029263977,0.0,0.0
LN,0.26178600557608156,0.23764220644442835,0.23766000241695195,0.0
FI,0.26059167943586936,0.22728925310338943,0.23198212026332665,0.2137025213424174
