,M5S,PD,LN,FI
M5S,0.23029664874685296,0.0,0.0,0.0
PD,0.21696420941000716,0.20229963391026273,0.0,0.0
LN,0.219067443553144,0.212399904555293,0.20436123267966333,0.0
FI,0.23072781357537375,0.2179044864825802,0.22306202512244588,0.24828523752260123
