,M5S,PD,LN,FI
M5S,0.26889908174604105,0.0,0.0,0.0
PD,0.27767549080325826,0.2825660230221496,0.0,0.0
LN,0.27101330267321444,0.27853113816241604,0.2696013751493249,0.0
FI,0.294365832033768,0.29611847495292376,0.2920993871202884,0.30621781687387684
