,M5S,PD,LN,FI
M5S,0.2989942481889106,0.0,0.0,0.0
PD,0.3146907775970049,0.3214903589474478,0.0,0.0
LN,0.29643259720026593,0.3132677844011681,0.2858159347578466,0.0
FI,0.30076044671738544,0.3180628192471767,0.2938752120501059,0.290749396963802
