,FdI,PD,FI,M5S,LN
FdI,0.23871607162087738,0.0,0.0,0.0,0.0
PD,0.28086840852126005,0.30169414666645156,0.0,0.0,0.0
FI,0.260209232610243,0.2904457713459532,0.2815183222360629,0.0,0.0
M5S,0.27032008837493915,0.30501487409762607,0.28540425684829307,0.27741153538231045,0.0
LN,0.27732495591797224,0.31156725881545955,0.2929454240470374,0.29082849134758826,0.291860779514008
