,FdI,PD,FI,M5S,LN
FdI,0.32069063798202124,0.0,0.0,0.0,0.0
PD,0.2458556612249474,0.1643820730435127,0.0,0.0,0.0
FI,0.24974154820971783,0.24417893050203499,0.2210213758664279,0.0,0.0
M5S,0.26982923953605953,0.2764525647593792,0.2505900748436446,0.2320217310196795,0.0
LN,0.27820055274506306,0.29194651256831283,0.28588840173898344,0.28859610317113094,0.4081962754478854
