,FdI,PD,FI,M5S,LN
FdI,0.2696524139404556,0.0,0.0,0.0,0.0
PD,0.2702609537304149,0.26609318210893285,0.0,0.0,0.0
FI,0.26581111411775193,0.26388108849103953,0.25859484449435566,0.0,0.0
M5S,0.270288820991628,0.2732261554711013,0.264849648948957,0.2648203002103644,0.0
LN,0.26466940459669863,0.26610947573073684,0.25867223473089107,0.26216997449738966,0.2560746902290142
