,FdI,PD,FI,M5S,LN
FdI,0.29150730541989234,0.0,0.0,0.0,0.0
PD,0.29767237139764746,0.2836931087567155,0.0,0.0,0.0
FI,0.28036968267648976,0.2831895420880539,0.260472233514384,0.0,0.0
M5S,0.25899787946323904,0.26841959386365133,0.24868303782574308,0.2239278184697826,0.0
LN,0.26781089112598866,0.2821518357105596,0.2573415488310762,0.22786675129938017,0.23471488941160257
