,FdI,PD,FI,M5S,LN
FdI,0.2632191766643004,0.0,0.0,0.0,0.0
PD,0.2738816712582324,0.27129859070320417,0.0,0.0,0.0
FI,0.2625071514931203,0.2607092579122745,0.24929130232129904,0.0,0.0
M5S,0.2749925410185937,0.2719334049679063,0.2620080915467473,0.2713698226018373,0.0
LN,0.26595577266121184,0.2613674119242996,0.2510756224308218,0.2602932080124678,0.24809650992743493
