,FdI,PD,FI,M5S,LN
FdI,0.21408687331826293,0.0,0.0,0.0,0.0
PD,0.21096768582924585,0.18596543020094014,0.0,0.0,0.0
FI,0.20407404264301177,0.1814345738391856,0.17428466070283077,0.0,0.0
M5S,0.21019724273234042,0.19379784751332318,0.187493692455731,0.19650121325070147,0.0
LN,0.21686343624293447,0.20586471555249453,0.20027204387422304,0.2070116421869953,0.21490657496161836
