,FdI,PD,FI,M5S,LN
FdI,0.2741950827754772,0.0,0.0,0.0,0.0
PD,0.3051781671721254,0.3154525870573105,0.0,0.0,0.0
FI,0.2997497300046905,0.3165974618532601,0.3037187051250708,0.0,0.0
M5S,0.2955473488668574,0.3194193174681965,0.3061080399532674,0.30858474254788437,0.0
LN,0.30552075901427733,0.3194562846175134,0.3168123308888936,0.3206773158177789,0.31310317494602646
