,FdI,PD,FI,M5S,LN
FdI,0.2678998193530171,0.0,0.0,0.0,0.0
PD,0.30531053206775083,0.29814923560413376,0.0,0.0,0.0
FI,0.28171157919932943,0.2848744397776237,0.2812851466554551,0.0,0.0
M5S,0.2947092227713668,0.29126756786055663,0.28446537948622674,0.2794882696252686,0.0
LN,0.3289955104429171,0.31579942504658465,0.33002322035434006,0.30816290091986065,0.31540685106427147
