,M5S,PD,LN,FI
M5S,0.2476868124949454,0.0,0.0,0.0
PD,0.23896108637558844,0.22356079216057878,0.0,0.0
LN,0.2454236054441402,0.23134401561785212,0.2245260227034659,0.0
FI,0.24134605860542158,0.21037748889447616,0.22721256887249253,0.0
