,M5S,PD,LN,FI
M5S,0.19227179965740115,0.0,0.0,0.0
PD,0.20675835417042387,0.2211303516989248,0.0,0.0
LN,0.20805953826492696,0.22288392851425642,0.21903729715843223,0.0
FI,0.2334225743278805,0.24797036169302433,0.23665325815427274,0.23666131302131121
