,M5S,PD,LN,FI
M5S,0.28178837826771774,0.0,0.0,0.0
PD,0.28815596709794666,0.2909537860695174,0.0,0.0
LN,0.2786512358173334,0.285501917717345,0.27180280344257457,0.0
FI,0.2992550291276098,0.3021440871136908,0.29647758097787835,0.31122568188706445
