,M5S,PD,LN,FI
M5S,0.27827321523246296,0.0,0.0,0.0
PD,0.27754736138657987,0.27421994062533617,0.0,0.0
LN,0.2832372066683053,0.2822771131566586,0.28224504443549714,0.0
FI,0.27422908221106346,0.2709268772507609,0.27345298458589384,0.2548314825697937
