,M5S,PD,LN,FI
M5S,0.25021585110118416,0.0,0.0,0.0
PD,0.2605622153623791,0.24662035373398783,0.0,0.0
LN,0.2563714939959991,0.25071357087233126,0.24604824111856538,0.0
FI,0.249004000840079,0.24780552590646976,0.24034947971673826,0.2293767113555596
