,M5S,PD,LN,FI
M5S,0.29069875144583046,0.0,0.0,0.0
PD,0.28577736502016804,0.278301539223056,0.0,0.0
LN,0.29364018070384157,0.28726285420014064,0.2862709283293098,0.0
FI,0.2741257617698232,0.2694771227221229,0.28411708835053207,0.22336460554824966
