,M5S,PD,LN,FI
M5S,0.23694552880545727,0.0,0.0,0.0
PD,0.23838908679938242,0.23606187512431298,0.0,0.0
LN,0.23698173795581878,0.23582681972371278,0.23224051189127715,0.0
FI,0.2530760942514374,0.2524644232131281,0.24654783278653924,0.19136020871633386
