,FdI,PD,FI,M5S,LN
FdI,0.2895952143805588,0.0,0.0,0.0,0.0
PD,0.2841270262658805,0.2812616035842469,0.0,0.0,0.0
FI,0.27011983897280134,0.26860217154268184,0.2530138888320643,0.0,0.0
M5S,0.2975204705562997,0.2954971212985277,0.2822038815955139,0.3008576968325115,0.0
LN,0.29591114214045056,0.2948089459234997,0.2794102626619094,0.29738810534774285,0.2904544580444496
