,FdI,PD,FI,M5S,LN
FdI,0.30000530201305764,0.0,0.0,0.0,0.0
PD,0.3070016046183808,0.2963287288342894,0.0,0.0,0.0
FI,0.288826027045895,0.2895042629838832,0.2737859274205853,0.0,0.0
M5S,0.3057442444118783,0.302612829699068,0.2909690257208425,0.3006793259797266,0.0
LN,0.3326093035114691,0.3258154952518537,0.30910065270400755,0.3266779902580388,0.346000437750413
