,M5S,FdI,LN,FI
M5S,0.0,0.0,0.0,0.0
FdI,0.15197164593988177,0.18590841470654718,0.0,0.0
LN,0.16612408562569048,0.19249027212025283,0.211707558547226,0.0
FI,0.2382513025592975,0.2496692051491134,0.25563261742767873,0.30327692220291036
