,M5S,FdI,LN,FI
M5S,0.0,0.0,0.0,0.0
FdI,0.31237671194308636,0.2494673543855358,0.0,0.0
LN,0.2220040808833269,0.2858698606977743,0.0,0.0
FI,0.21758987559034182,0.25592389249546565,0.221005408913459,0.20393566580652023
