,M5S,LN,PD,FI
M5S,0.20516432037131394,0.0,0.0,0.0
LN,0.2054620060147665,0.20325632880729894,0.0,0.0
PD,0.2133625610769624,0.20903806886464193,0.21141644301569118,0.0
FI,0.2338136305395031,0.22163446695766886,0.22955256664692136,0.21866382575058663
