,M5S,LN,PD,FI
M5S,0.24159112974358643,0.0,0.0,0.0
LN,0.247255340670953,0.25395134040818124,0.0,0.0
PD,0.24022198151305463,0.2541399645837721,0.24367143665397317,0.0
FI,0.24621478225275306,0.2796797736540002,0.2538297868923751,0.2531916581794289
