,M5S,LN,PD,FI
M5S,0.315680447232905,0.0,0.0,0.0
LN,0.30251691256161384,0.26218182001883017,0.0,0.0
PD,0.34051211045237684,0.30723036955283123,0.3321127675961749,0.0
FI,0.36172522557538855,0.3568420559528175,0.32487906875627337,0.0
