,M5S,PD,LN,FI
M5S,0.3136721533389657,0.0,0.0,0.0
PD,0.3081123978181508,0.2977762053774228,0.0,0.0
LN,0.3106693049530923,0.3030494752813404,0.3057234515992523,0.0
FI,0.3210986254278858,0.31965487839875173,0.32238879777360574,0.3298401170230729
