,M5S,PD,LN,FI
M5S,0.2679735917050342,0.0,0.0,0.0
PD,0.2667696235537981,0.26014136669179444,0.0,0.0
LN,0.2571102246645126,0.2651654134665151,0.24429137357931063,0.0
FI,0.2547941796350992,0.25475950763261945,0.2687643514403866,0.21626014264062898
