,FdI,PD,FI,M5S,LN
FdI,0.252767682590462,0.0,0.0,0.0,0.0
PD,0.329765282401585,0.315857717825064,0.0,0.0,0.0
FI,0.338621864733321,0.31864758931190473,0.29839989989155136,0.0,0.0
M5S,0.34202823283342754,0.32506678017440904,0.30981933652131743,0.31811774970741236,0.0
LN,0.3551387471325044,0.3415246279276657,0.3183262430606325,0.3243878396564931,0.3283114518022
