,FdI,PD,FI,M5S,LN
FdI,0.0,0.0,0.0,0.0,0.0
PD,0.2613932704116949,0.21800526535901643,0.0,0.0,0.0
FI,0.24323970230553105,0.2402308578169121,0.2588034839095078,0.0,0.0
M5S,0.2521326358077062,0.23116963753262032,0.25384250616575543,0.2562833698934758,0.0
LN,0.2543110637415038,0.2724262041767025,0.2797642488444848,0.26010274702095926,0.2796527661862358
