,FdI,PD,FI,M5S,LN
FdI,0.19957764892000318,0.0,0.0,0.0,0.0
PD,0.21104118579928155,0.206070119213406,0.0,0.0,0.0
FI,0.20931513254911993,0.21491535586522792,0.21528008177272495,0.0,0.0
M5S,0.21585945645449933,0.21776660002132953,0.21882954917267938,0.21095540698645332,0.0
LN,0.20490145348256317,0.21683689180794774,0.2161480954622641,0.21863655786655634,0.21103650201509605
